"TribeID"	"Tribe"	"AnnPrec"	"CalcThick"
27	"Gherib"	600	1
20	"Beni Hassen"	552	1
6	"Ouled Alan"	443	0.1
12	"Ouled Sidi Ahmed ben Youssef"	557	0.6
14	"Ouled Hedim"	533	0.68
5	"Titteri"	388	0
18	"Deimat"	388	0
17	"Ouled Maaref"	472	0.13
16	"Souary"	388	0
29	"Beni Bou Yacoub"	673	0.51
21	"Hannacha"	640	1
24	"Righa"	612	1
28	"Ouamri"	686	1
22	"Ouzera"	750	0.97
25	"Mouzaïa"	760	1
7	"Oulad Mokhtar"	316	0.01
19	"Abid"	539	0.99
23	"Haouara"	651	0.85
26	"Hassen Ben Ali"	672	0.71
15	"Oulad Daïd"	573	0.51
11	"Rebaïa"	505	0.59
13	"Douaïr"	498	0.56
8	"Mouïdat"	316	0.01
