"FractionID"	"TribalFraction"	"NameVariants"	"Tribe"	"TribeID"	"Makhzen"	"Marabout"	"Berber"	"Urbain1843"	"PopStats1844"	"Pop1845"	"Map1852"	"Silos1853"	"Silos1854"	"NomPop1855"	"NomPop1856"	"Pop1872"	"NomPop1872"	"Accardo1879"	"Silos1884"	"Longitude"	"Latitude"	"LocQual"	"Sources"	"DocComments"	"OtherComments"
1	"Ouled Lahrach"	"Ouled Lahrach"	"Rahman Gheraba"	1	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.864961	35.53814	"suggested"	"SainteMarie1985"		
2	"Ouled Slemo"	"Ouled Slema"	"Rahman Gheraba"	1	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.900764	35.77628	"suggested"	"SainteMarie1985"		
3	"Ouled Mansour"	"Ouled Mansour"	"Rahman Gheraba"	1	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.842029	35.299995	"suggested"	"SainteMarie1985"		
4	"Ouled Aïssa"	"Ouled Aïssa"	"Rahman Gheraba"	1	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.755826	35.397111	"suggested"	"SainteMarie1985"		
5	"Nouïral"	"Nouïral"	"Rahman Gheraba"	1	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.821791	35.201029	"suggested"	"SainteMarie1985"		
6	"Ouled Daoud"	"Ouled Daoud"	"Rahman Gheraba"	1	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.864322	35.424112	"suggested"	"SainteMarie1985"		
7	"Ouled M'bark/Ouled Saïdan"	"Ouled M'bark/Ouled Saïdan"	"Rahman Cheraga"	2	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.989297	35.696616	"possible"	"SainteMarie1985"		
8	"Ouled Dilfalah"	"Ouled Dilfalah"	"Rahman Cheraga"	2	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	3.019273	35.586484	"possible"	"SainteMarie1985"		
9	"El Aouana"	"El Aouana"	"Rahman Cheraga"	2	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	3.080975	35.493149	"possible"	"SainteMarie1985"		
10	"El Bezinal/Rezigal"	"El Bezinal/Rezigal"	"Rahman Cheraga"	2	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	3.064037	35.364666	"possible"	"SainteMarie1985"		
14	"Ouled Sidi Slimane"	"Ouled Sidi Slimane"	"Ouled Sidi Aïssa El Ouerq"	4	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.414435	35.328081	"random"	"SainteMarie1985"		
15	"Zabala"	"Zabala"	"Ouled Sidi Aïssa El Ouerq"	4	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.477441	35.389557	"random"	"SainteMarie1985"		
16	"Ouled Betka"	"Ouled Betka"	"Ouled Sidi Aïssa El Ouerq"	4	0	0	0	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"yes"	2.50741	35.45811	"random"	"SainteMarie1985"		
17	"Ouled Atman"	"Ouled Atman/Otsman/Othman/Otman/Atemen"	"Titteri"	5	0	0	0	"no"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"yes"	"no"	3.039181	35.88242	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
18	"Ouled Debab"	"Ouled Debab/Debeb"	"Titteri"	5	0	0	0	"yes"	"no"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"yes"	"no"	3.035525	35.847136	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
19	"Ouled Saïd"	"Ouled Saïd/Seid"	"Titteri"	5	0	0	0	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"	"no"	"yes"	"no"	3.03612	35.812158	"random"	"ANOM GGA 50II 240"		
20	"El Mebadba"	"El Mebadba/Mehedebah"	"Titteri"	5	0	0	0	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"yes"	"no"	3.040363	35.763306	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
21	"Ouled Chenaf"	"Ouled Chenaf/Chenef/Chenaf et Oued Aïssa"	"Ouled Allan (Allan-Beschiche)"	6	0	0	0	"yes"		"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	3.113116	35.922974	"random"	"ANOM GGA 50II 240;TableauAlgerie1845:508;ANOM GGA 01II 277"		
22	"Ouled Abdelouab"	"Ouled Abd-el-Louab/Abdelouahab/Abdeloueheb"	"Ouled Allan (Allan-Beschiche)"	6	0	0	0	"no"		"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	3.170458	35.860096	"random"	"ANOM GGA 50II 240;TableauAlgerie1845:508;ANOM GGA 01II 277"		
23	"Ouled Yahya"	"Ouled Yahya/Iahïa/Jahia/Yahia"	"Ouled Allan (Allan-Beschiche)"	6	0	0	0	"no"		"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	3.160772	35.946818	"random"	"ANOM GGA 50II 240;TableauAlgerie1845:508;ANOM GGA 01II 277"		
