"SRID"	"Year"	"Tribe"	"TribeID"	"TribalFraction"	"FractionID"	"Leader"	"PlaceName"	"SiteID"	"SiloCount"	"Observations"	"Source"	"OtherComments"
945	1853	"Oulad Mokhtar"	7	"Oulad Mokhtar"	11	"Lakhdar Bel Hadj"	"Sed Hadjama"	717	578	"sur la plaine"	"ANOM GGA 50II 240"	
946	1853	"Oulad Mokhtar"	7	"Oulad Mokhtar"	11	"Lakhdar Bel Hadj"	"El Besbessi"	19	1	"sur la plaine"	"ANOM GGA 50II 240"	
840	1853	"Titery"	5	"Oulad Atemen"	17	"Ben Djedou"	"Kerked el Haouch (lower)"	30	76	"près de la ferme du Bach Agha (celle du bas)"	"ANOM GGA 50II 240"	
841	1853	"Titery"	5	"Oulad Atemen"	17	"Ben Djedou"	"Kerked el Haouch (upper)"	31	6	"près de la ferme du Bach Agha (celle du haut)"	"ANOM GGA 50II 240"	
842	1853	"Titery"	5	"Oulad Atemen"	17	"Ben Djedou"	"El Beda"	32	12	"près d'un rocher"	"ANOM GGA 50II 240"	
843	1853	"Titery"	5	"Oulad Atemen"	17	"Ben Djedou"	"Debdeb"	36	265	"près d'un chemin"	"ANOM GGA 50II 240"	
844	1853	"Titery"	5	"Oulad Debeb"	18	"Ahmed ben Djaballah"	"Debdeb (Tighaza?)"	37	186	"entre la rivière et un mechta"	"ANOM GGA 50II 240"	
845	1853	"Titery"	5	"Oulad Debeb"	18	"Ahmed ben Djaballah"	"Merraoun"	659	82	"près d'un rocher"	"ANOM GGA 50II 240"	
846	1853	"Titery"	5	"Oulad Debeb"	18	"Ahmed ben Djaballah"	"Aïn Harmela"	35	12	"près d'un ruisseau"	"ANOM GGA 50II 240"	
847	1853	"Titery"	5	"Oulad Seid"	19	"El Hadj el Aichi"	"El Gromat"	38	63	"au pied d'une montagne"	"ANOM GGA 50II 240"	
848	1853	"Titery"	5	"El Mehedibah"	20	"El Djileli"	"El Gaada el Bida"	39	190	"près d'un mechta"	"ANOM GGA 50II 240"	
849	1853	"Titery"	5	"El Mehedibah"	20	"El Djileli"	"Mechter Lahmar"	40	60	"près d'un mechta"	"ANOM GGA 50II 240"	
850	1853	"Titery"	5	"El Mehedibah"	20	"Oulad Si Slimen"	"El Kheneg"	43	24	"près d'un jardin"	"ANOM GGA 50II 240"	
851	1853	"Titery"	5	"El Mehedibah"	20	"B. El Daoudja"	"Dera Labiod"	41	108	"près d'une rivière"	"ANOM GGA 50II 240"	
852	1853	"Titery"	5	"El Mehedibah"	20	"B. El Daoudja"	"El Medjen"	42	21	"près d'un mechta"	"ANOM GGA 50II 240"	
853	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"Gaad el Siah"	45	100	"entre 2 rivières"	"ANOM GGA 50II 240"	
854	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"Aïn el Ahmer"	44	2	"sur la plaine"	"ANOM GGA 50II 240"	
855	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"El Berdja"	46	31	"entre 2 rochers"	"ANOM GGA 50II 240"	
856	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"El Gaada"	660	1	"sur un mamelon"	"ANOM GGA 50II 240"	
857	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"Hafrer Chohra"	47	45	"près d'un jardin"	"ANOM GGA 50II 240"	
858	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"El Djebessa"	661	30	"près d'une rivière"	"ANOM GGA 50II 240"	
859	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"Tagrea"	662	100	"près du Kef Lakhdar"	"ANOM GGA 50II 240"	
860	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"Fehima"	51	60	"au bas du Kef Lakhdar"	"ANOM GGA 50II 240"	
861	1853	"Oulad Alens"	6	"Oulad Chenef"	21	"El Bouai Chavin"	"Beni Djkhedouch"	52	87	"au bas d'un rocher"	"ANOM GGA 50II 240"	
862	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"Belghida"	663	82	"près d'une rivière"	"ANOM GGA 50II 240"	
863	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"El Djouema"	56	14	"près d'une ferme"	"ANOM GGA 50II 240"	
864	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"El Mechta"	54	74	"près d'un ruisseau"	"ANOM GGA 50II 240"	
865	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"El Djema"	664	13	"près d'un peuplier"	"ANOM GGA 50II 240"	
866	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"Ramlia"	665	44	"entre des jardins et des arbres"	"ANOM GGA 50II 240"	
867	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"Bel Kemel"	666	2	"sur une plaine seule"	"ANOM GGA 50II 240"	
868	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"Aïn Daffra"	667	42	"près d'un mechta"	"ANOM GGA 50II 240"	
869	1853	"Oulad Alens"	6	"Oulad Abdeloucheb"	22	"Ali ben Saad"	"Nehar"	668	50	"entre 2 rochers"	"ANOM GGA 50II 240"	
880	1853	"Oulad Alens"	6	"Oulad Yahya"	23	"Negli"	"Dehendi"	67	56	"près d'un cimetière"	"ANOM GGA 50II 240"	
881	1853	"Oulad Alens"	6	"Oulad Yahya"	23	"Negli"	"El Hemiya"	65	54	"au bas d'un rocher"	"ANOM GGA 50II 240"	
882	1853	"Oulad Alens"	6	"Oulad Yahya"	23	"Negli"	"El Gorfa"	675	24	"près d'un mechta"	"ANOM GGA 50II 240"	
883	1853	"Oulad Alens"	6	"Oulad Yahya"	23	"Negli"	"Dellia"	68	74	"près d'un mechta"	"ANOM GGA 50II 240"	
884	1853	"Oulad Alens"	6	"Oulad Yahya"	23	"Negli"	"El Hania"	66	45	"au bas d'un rocher, près d'un mechta"	"ANOM GGA 50II 240"	
885	1853	"Oulad Alens"	6	"Oulad Yahya"	23	"Negli"	"Bouaben"	62	180	"entre 2 ruisseaux"	"ANOM GGA 50II 240"	
873	1853	"Oulad Alens"	6	"Serarta"	24	"El Hadj Sahiri"	"Tirghan"	71	14	"au milieu de Tirghan, près de Dia"	"ANOM GGA 50II 240"	
874	1853	"Oulad Alens"	6	"Serarta"	24	"El Hadj Sahiri"	"Dia"	72	40	"dans un mechta"	"ANOM GGA 50II 240"	
875	1853	"Oulad Alens"	6	"Serarta"	24	"El Hadj Sahiri"	"Guelh el Hadja"	670	30	"entre 2 ruisseaux"	"ANOM GGA 50II 240"	
876	1853	"Oulad Alens"	6	"Serarta"	24	"El Hadj Sahiri"	"?Glouib Ghalous"	671	24	"dans un mechta"	"ANOM GGA 50II 240"	
877	1853	"Oulad Alens"	6	"Serarta"	24	"El Hadj Sahiri"	"El Gaada"	672	27	"près d'une fontaine"	"ANOM GGA 50II 240"	
878	1853	"Oulad Alens"	6	"Serarta"	24	"El Hadj Sahiri"	"Tirghan Doghera"	673	17	"dans un mechta"	"ANOM GGA 50II 240"	
879	1853	"Oulad Alens"	6	"Serarta"	24	"El Hadj Sahiri"	"El Meniten"	674	15	"près d'une fontaine"	"ANOM GGA 50II 240"	
870	1853	"Oulad Alens"	6	"El Maaguif"	25	"Aissa ben Ahmed"	"Negueriya"	82	50	"près d'un rocher"	"ANOM GGA 50II 240"	
871	1853	"Oulad Alens"	6	"El Maaguif"	25	"Aissa ben Ahmed"	"Dia"	72	14	"près d'un ruisseau"	"ANOM GGA 50II 240"	
872	1853	"Oulad Alens"	6	"El Maaguif"	25	"Aissa ben Ahmed"	"El Kheneg"	669	56	"entre une rivière et un Kef"	"ANOM GGA 50II 240"	
886	1853	"Oulad Alens"	6	"Oulad Sidi Omer"	26	"Si Yahya ben Attalia"	"Aïn Ghanem"	676	30	"au bas d'un rocher, près d'une fontaine"	"ANOM GGA 50II 240"	
939	1853	"Oulad Alens"	6	"Oulad Sidi Amer"	27	"Si Ben Achour"	"Toual el Aoud"	90	41	"près d'une fontaine"	"ANOM GGA 50II 240"	
940	1853	"Oulad Alens"	6	"Oulad Sidi Amer"	27	"Si Ben Achour"	"El Berrouiguiga"	91	45	"près d'un jardin"	"ANOM GGA 50II 240"	
941	1853	"Oulad Alens"	6	"Oulad Sidi Amer"	27	"Si Ben Achour"	"Azeler el Grad"	713	200	"près d'une rivière"	"ANOM GGA 50II 240"	
942	1853	"Oulad Alens"	6	"Oulad Sidi Amer"	27	"Si Ben Achour"	"Aïn el Karma"	714	45	"entre 2 ruisseaux au bas d'une montagne"	"ANOM GGA 50II 240"	
943	1853	"Oulad Alens"	6	"Oulad Sidi Amer"	27	"Si Ben Achour"	"Doemid"	715	200	"entre 2 rivières"	"ANOM GGA 50II 240"	
944	1853	"Oulad Alens"	6	"Oulad Sidi Amer"	27	"Si Ben Achour"	"Gaadet Lamam"	716	9	"dans un mechta"	"ANOM GGA 50II 240"	
913	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Zoudj Maadja"	696	56	"près d'un rocher"	"ANOM GGA 50II 240"	
914	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Bekhour"	697	1	"près d'une rivière"	"ANOM GGA 50II 240"	
915	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Louza"	698	2	"entre 2 rivières, près d'un rocher"	"ANOM GGA 50II 240"	
916	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"El Hanout"	96	24	"entre 2 rivières"	"ANOM GGA 50II 240"	
917	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Derias"	699	11	"entre 2 peupliers"	"ANOM GGA 50II 240"	
918	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"El Guetia"	92	49	"entre une rivière et Chelifa"	"ANOM GGA 50II 240"	
919	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Chebour"	700	2	"sur une plaine"	"ANOM GGA 50II 240"	
920	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"Chaouch"	701	4	"près d'un matmar"	"ANOM GGA 50II 240"	
921	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"El l'Emhallah"	702	29	"entre des mechtas"	"ANOM GGA 50II 240"	
922	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"El Merdja"	703	24	"près d'une rivière"	"ANOM GGA 50II 240"	
923	1853	"Oulad Alens"	6	"El Belida"	28	"Aissa ben Aissa"	"El Argoub"	704	2	"sur une plaine"	"ANOM GGA 50II 240"	
