"SiteID"	"ID"	"PlaceName"	"NameVariants"	"TribeID"	"Tribe"	"FractionID"	"TribalFraction"	"Description"	"ExtraComments"	"SiloCount1853"	"SiloCount1854"	"SiloCount1884"	"Agha"	"Caïd"	"Cheikh"	"Chaouch"	"Sidi"	"Kadi"	"Bordj"	"AssemblyPlace"	"Dechera"	"Haouch"	"Mechta"	"Beylik"	"House"	"Gourbi"	"GourbiMulti"	"Farm"	"Garden"	"Djenan"	"WellCistern"	"TheshingFloors"	"Matmora"	"Mosque"	"Marabout"	"Cemetery"	"Market"	"Grange"	"HayStraw"	"MajorRoute"	"Path"	"Ruin"	"SmallDam"	"Fields"	"Vines"	"LemonTree"	"AlmondTree"	"OliveTree"	"FigTree"	"Terebinth"	"PomegranateTree"	"CarobTree"	"OakTree"	"ElmTree"	"PoplarTree"	"UndiffTree"	"Maquis"	"OtherPlants"	"Mountain"	"Hill"	"Plateau"	"Escarpment"	"Pass"	"Rock"	"DryHardGround"	"SandyArea"	"Cave"	"Wadi"	"Ravine"	"River"	"Stream"	"Spring"	"Fontaine"	"Depression"	"Plain"	"Prairie"	"Longitude"	"Latitude"	"LocQual"	"LonPlot"	"LatPlot"
163	163	"Aïn Beda"	"Aïn Beda"	11	"Rebaïas"	45	"Oulad Aataf"				19																																																													1								3.232666	35.997684
55	55	"Aïn Boussif"	"Aïn Boussif/Aïn Yousif"	6	"Oulad Allans/Oulad Alens/Oulad Alan"	22	"Oulad Abdelouahab/El Belida/Lebabda"	"entre une fontaine, une prairie et un rocher"		12	66																																																					1								1	1			1				3.142845	35.829478
44	44	"Aïn el Ahmer"	"Aïn el Ahmer/Aïn el Hamir"	6	"Oulad Alens/Oulad Allans"	21	"Oulad Chenef/Oulad Chenaf"	"sur la plaine/près de son haouch. nouvel emplacement"		2	12											1																																																		1			1					3.105161	35.95593
120	120	"Aïn el Behira"	"Aïn el Behira"	6	"Oulad Alan"	33	"Bel Ytess"				50																																																													1								3.378096	35.780562
167	167	"Aïn el Hedjar"	"Aïn el Hedjar/Aïn el Hhedjar"	11	"Rebaïa/Rebaïas"	46	"Oulad Si Mohamed/Oulad Sidi Mehemed"	"près de deux arbres, d'un source et d'un ravin"		50	20																																													1													1			1								3.169387	36.005445
57	57	"Aïn el Mesken"	"Aïn el Mesken"	6	"Oulad Allans"	22	"Oulad Abdelouahab"				20																																																													1								3.165094	35.856659
63	63	"Aïn Emaya"	"Aïn Emaya"	6	"Oulad Allans"	23	"Oulad Jabia"	"nouvel emplacement"			15																																																													1								3.138972	35.967863
197	197	"Aïn Sultan"	"Aïn Sultan/Aïn Selthan"	13	"Douaïres/Douair"	52	"Oulad Raab nal el Oued/Oulad Rehab"	"ouest rocher, nord jardin, est chemin, sud petit rocher"		88	40																		1												1																							1								1								2.954622	35.918002
58	58	"Aïn Kabla"	"Aïn Kabla"	6	"Oulad Allans"	22	"Oulad Abdelouahab"				25																																																													1								3.212288	35.822708
185	185	"Aïn Seïdan"	"Aïn Seïdan/Ain Saïdan"	13	"Douaïres/Douair"	51	"El Alalma/El Aallalema"	"ouest lieu appelé Cobra el Aoud, nord lieu appelé Afer Debir, est sables, sud montagne"		40	21																																																1													1								2.998305	36.036352
97	97	"Aïssa ben Aïssa"	"Aïssa ben Aïssa"	6	"Oulad Alan"	28	"Lebabda"				15																																																																					3.257651	35.925074
166	166	"Mel Gassem"	"Mel Gassem/El Megassem"	11	"Rebaïa/Rebaïas"	46	"Oulad Si Mohamed/Oulad Sidi Mehemed"	"nord ravin, sud chemin, ouest les gourbis d'Amed ben Sefti"		28	21															1	1														1																			1									1											3.213154	36.00153
