"TribeID"	"Tribe"	"NameVariants"	"Makhzen"	"Berber"	"Map1840"	"CaretteWarnier1846"	"Urbain1843"	"Pop1844"	"Pop1846"	"Map1852"	"Silos1853"	"Silos1854"	"Map1852a"	"Pop1855"	"Pop1856"	"Pop1867"	"Pop1872"	"Pop1872a"	"Silos1884"	"Longitude"	"Latitude"	"LocQual"	"Sources"	"Comments"
1	"Rahman Gheraba"	"Rahman Gheraba"	"no"	"no"						"no"			"yes"	"no"	"no"				"yes"	2.860201	35.325793	"B"	"SainteMarie1985"	
2	"Rahman Cheraga"	"Rahman Cheraga"	"no"	"no"						"no"			"yes"	"no"	"no"				"yes"	3.046	35.498	"B"	"SainteMarie1985"	
3	"Ouled Mokhtar and Mouïadat Cheraga"	"Ouled Mokhtar and Mouïdat/El Moyadets/Mouïadat Cheraga"	"no"	"no"		"yes"				"yes"	"yes"	"yes"		"no"	"yes"				"yes"	3.284	35.634	"B"	"SainteMarie1985"	
4	"Ouled Sidi Aïssa El Ouerq"	"Ouled Sidi Aïssa El Ouerq"	"no"	"no"						"no"			"yes"	"no"	"no"				"yes"	2.456084	35.394332	"B"	"SainteMarie1985"	
5	"Titteri"	"Titteri"	"no"	"no"		"yes"				"no"	"yes"	"yes"		"no"	"no"				"yes"	3.034359	35.829219	"B"	"SainteMarie1985"	
6	"Ouled Allan"	"Ouled Alan/Alen/Allan/Allane/Alane/Elan"	"no"	"no"		"yes"	"yes"			"yes"	"yes"	"yes"	"yes"	"no"	"no"				"yes"	3.198555	35.882909	"B"	"Silos1853et1854;TableauAlgerie1845:508;SainteMarie1985"	"Mentioned in Tableaux as a tribe that live in a cereal-rich region, with an upland refuge site at Kaf el-Akhdar."
7	"Ouled Mokhtar"	"Ouled Mokhtar"	"no"	"no"		"yes"				"yes"	"yes"	"yes"		"no"	"yes"				"yes"	3.200224	35.599589	"B"	"Silos1853et1854"	"Merged with Mouïdat in 1884/1887 documents (see TribeID 3)"
8	"Mouïdat"	"Mouïdat/El Moyadets"	"no"	"no"		"yes"				"no"	"yes"	"yes"		"no"	"yes"				"yes"	3.349956	35.642438	"B"	"Silos1853et1854"	"Merged with Ouled Mokhtar in 1884/1887 documents (see TribeID 3)"
9	"Sahari Ouled Brahim"	"Sahari/Sahari Ouled Brahim"	"no"	"no"						"no"		"yes"		"no"	"no"					3.476742	35.463963	"B"	"Silos1853et1854;TableauAlgerie1845:510"	
10	"Ouled Sidi Aïssa el Adab"	"Ouled Sidi Aïssa el Adab/el Ahhedab/Adheb"	"no"	"no"						"no"		"yes"	"yes"	"no"	"no"				"yes"	3.357142	35.308882	"B"	"Silos1853et1854;TableauAlgerie1845:510"	"Mentioned in Tableaux as a small tribe that live in mountainous region, produce pine tar and hunt ostriches."
11	"Rebaïa"	"Rebaïa"	"no"	"no"		"yes"				"yes"	"yes"	"yes"	"yes"	"no"	"no"					3.117625	36.012733	"B"	"Silos1853et1854;TableauAlgerie1845:508"	"Mentioned in Tableaux as a tribe that live in a cereal-rich region, with a salt-flat/marsh that provides for all the Titteri."
12	"Ouled Sidi Ahmed ben Youssef"	"Ouled Sidi Ahmed ben Youssef/Youcef/Oued Chaïr"	"no"	"no"		"yes"				"yes"	"yes"	"yes"	"yes"	"no"	"yes"					3.073687	36.108091	"B"	"Silos1853et1854"	
13	"Douaïr"	"Douaïr/Douair/Douaires"	"yes"	"no"		"yes"				"yes"	"yes"	"yes"	"yes"	"no"	"yes"					2.965565	35.954827	"B"	"Silos1853et1854"	
14	"Ouled Hedim"	"Ouled Hedim/Hédim"	"no"	"no"		"yes"				"yes"	"yes"	"yes"	"yes"	"no"	"no"					2.960537	36.036327	"B"	"Silos1853et1854"	
